equity_signal,Final Equity,Total Return,Max Drawdown,combination_name,total_trades,Signal,Ticker
rbo_100__rbo_20_equity_concave,-5298.026099999995,-152.98026099999996,-191.42146199999988,rbo_100__rbo_20,36.0,rbo_100__rbo_20,STLAM.MI
rbo_50__rbo_50_equity_convex,-8105.361499999998,-181.053615,-323.98001058392475,rbo_50__rbo_50,2.0,rbo_50__rbo_50,STLAM.MI
rbo_50__rbo_50_equity_concave,-8105.361499999998,-181.053615,-323.98001058392475,rbo_50__rbo_50,2.0,rbo_50__rbo_50,STLAM.MI
rbo_50__rtt_5020_equity_concave,-8105.361499999998,-181.053615,-323.98001058392475,rbo_50__rtt_5020,2.0,rbo_50__rtt_5020,STLAM.MI
rbo_50__rtt_5020_equity_convex,-8105.361499999998,-181.053615,-323.98001058392475,rbo_50__rtt_5020,2.0,rbo_50__rtt_5020,STLAM.MI
rbo_50__rbo_100_equity_convex,-10681.955800000009,-206.8195580000001,-323.98001058392475,rbo_50__rbo_100,10.0,rbo_50__rbo_100,STLAM.MI
rbo_50__rbo_100_equity_concave,-10681.955800000009,-206.8195580000001,-323.98001058392475,rbo_50__rbo_100,10.0,rbo_50__rbo_100,STLAM.MI
rbo_100__rbo_100_equity_convex,-12903.654699999996,-229.036547,-323.98001058392475,rbo_100__rbo_100,2.0,rbo_100__rbo_100,STLAM.MI
rbo_100__rbo_100_equity_concave,-12903.654699999996,-229.036547,-323.98001058392475,rbo_100__rbo_100,2.0,rbo_100__rbo_100,STLAM.MI
rbo_100__rbo_50_equity_convex,-17011.073000000022,-270.1107300000002,-323.98001058392475,rbo_100__rbo_50,23.0,rbo_100__rbo_50,STLAM.MI
rbo_100__rbo_50_equity_concave,-17011.073000000022,-270.1107300000002,-323.98001058392475,rbo_100__rbo_50,23.0,rbo_100__rbo_50,STLAM.MI
rbo_100__rtt_5020_equity_concave,-22475.18920000001,-324.7518920000001,-327.65615534856056,rbo_100__rtt_5020,14.0,rbo_100__rtt_5020,STLAM.MI
rbo_100__rtt_5020_equity_convex,-22475.18920000001,-324.7518920000001,-327.65615534856056,rbo_100__rtt_5020,14.0,rbo_100__rtt_5020,STLAM.MI
rbo_20_equity_constant,,,0.0,rbo_20,,rbo_20,STLAM.MI
rbo_20_equity_concave,,,0.0,rbo_20,,rbo_20,STLAM.MI
rbo_20_equity_convex,,,0.0,rbo_20,,rbo_20,STLAM.MI
rbo_50_equity_constant,,,0.0,rbo_50,,rbo_50,STLAM.MI
rbo_50_equity_concave,,,0.0,rbo_50,,rbo_50,STLAM.MI
rbo_50_equity_convex,,,0.0,rbo_50,,rbo_50,STLAM.MI
rbo_100_equity_constant,,,0.0,rbo_100,,rbo_100,STLAM.MI
rbo_100_equity_concave,,,0.0,rbo_100,,rbo_100,STLAM.MI
rbo_100_equity_convex,,,0.0,rbo_100,,rbo_100,STLAM.MI
rsma_50100150_equity_constant,,,0.0,rsma_50100150,,rsma_50100150,STLAM.MI
rsma_50100150_equity_concave,,,0.0,rsma_50100150,,rsma_50100150,STLAM.MI
rsma_50100150_equity_convex,,,0.0,rsma_50100150,,rsma_50100150,STLAM.MI
rema_50100150_equity_constant,,,0.0,rema_50100150,,rema_50100150,STLAM.MI
rema_50100150_equity_concave,,,0.0,rema_50100150,,rema_50100150,STLAM.MI
rema_50100150_equity_convex,,,0.0,rema_50100150,,rema_50100150,STLAM.MI
rrg_equity_constant,,,0.0,rrg,,rrg,STLAM.MI
