Signal,Final Equity,Total Return,Max Drawdown,Ticker
rbo_100,2508.2739999999985,0.3309599999999468,-1.2322085017956417,BGN.MI
rema_50100,2507.540399999998,0.3016159999999157,-1.2322085017956417,BGN.MI
rema_50100150,2506.6815000000006,0.2672600000000136,-1.0127877663753917,BGN.MI
rsma_50100,2505.0113999999976,0.2004559999998934,-1.286365622291871,BGN.MI
rsma_50100150,2504.165100000001,0.1666040000000368,-1.0563546698026265,BGN.MI
rrg,2501.6628999999966,0.0665159999998721,-0.8739494008505685,BGN.MI
rema_100150,2497.0692999999965,-0.1172280000001357,-1.0509147543038075,BGN.MI
rsma_100150,2496.413499999998,-0.143460000000084,-1.095845601558724,BGN.MI
rbo_20,2495.315800000001,-0.1873679999999544,-0.9364816762422488,BGN.MI
rsma_50100,2560.795799999997,2.4318319999998783,-2.6214941429336,BMED.MI
