equity_signal,Final Equity,Total Return,Max Drawdown,combination_name,total_trades,Signal,Ticker
rema_50100150__rtt_5020_equity_equal,9851.408599999995,-1.4859140000000437,-3.974095826583049,rema_50100150__rtt_5020,75.0,rema_50100150__rtt_5020,SBUX
rema_50100150__rbo_100_equity_equal,9834.6099,-1.653901000000002,-4.704746970838698,rema_50100150__rbo_100,98.0,rema_50100150__rbo_100,SBUX
rbo_20__rsma_50100150_equity_equal,9826.56049999999,-1.7343950000000996,-4.307123895973488,rbo_20__rsma_50100150,47.0,rbo_20__rsma_50100150,SBUX
rbo_100__rema_50100150_equity_equal,9825.947300000002,-1.7405269999999806,-3.060943186485031,rbo_100__rema_50100150,34.0,rbo_100__rema_50100150,SBUX
rrg_equity_equal,9822.220299999992,-1.777797000000081,-5.887355281942132,rrg,,rrg,SBUX
rbo_20__rbo_50_equity_equal,9822.066399999989,-1.7793360000001313,-4.651507836527046,rbo_20__rbo_50,34.0,rbo_20__rbo_50,SBUX
rema_50100150__rbo_50_equity_equal,9807.66189999999,-1.9233810000001017,-4.287212815098242,rema_50100150__rbo_50,105.0,rema_50100150__rbo_50,SBUX
rsma_50100150__rbo_100_equity_equal,9797.924399999998,-2.0207560000000235,-4.150899517599664,rsma_50100150__rbo_100,77.0,rsma_50100150__rbo_100,SBUX
rsma_50100150__rbo_50_equity_equal,9787.941000000006,-2.1205899999999334,-4.345338167390079,rsma_50100150__rbo_50,88.0,rsma_50100150__rbo_50,SBUX
rtt_5020__rbo_50_equity_equal,9786.133499999996,-2.13866500000004,-5.004928706905258,rtt_5020__rbo_50,4.0,rtt_5020__rbo_50,SBUX
rtt_5020__rtt_5020_equity_equal,9786.133499999996,-2.13866500000004,-5.004928706905258,rtt_5020__rtt_5020,4.0,rtt_5020__rtt_5020,SBUX
rema_50100150__rbo_20_equity_constant,9779.997700000004,-2.200022999999962,-25.381725503637576,rema_50100150__rbo_20,88.0,rema_50100150__rbo_20,SBUX
rsma_50100150__rema_50100150_equity_equal,9777.874499999993,-2.221255000000077,-5.370425424360487,rsma_50100150__rema_50100150,22.0,rsma_50100150__rema_50100150,SBUX
rbo_100__rbo_20_equity_equal,9760.172299999997,-2.398277000000037,-3.730274399125528,rbo_100__rbo_20,48.0,rbo_100__rbo_20,SBUX
rbo_20__rtt_5020_equity_equal,9760.074399999994,-2.3992560000000607,-5.2612350390765,rbo_20__rtt_5020,6.0,rbo_20__rtt_5020,SBUX
rsma_50100150__rtt_5020_equity_equal,9744.214500000004,-2.5578549999999645,-4.32435289985449,rsma_50100150__rtt_5020,71.0,rsma_50100150__rtt_5020,SBUX
rbo_100_equity_equal,9744.1596,-2.558404000000014,-5.115160862281291,rbo_100,,rbo_100,SBUX
rbo_20__rbo_100_equity_equal,9733.77969999998,-2.662203000000185,-5.222607770355265,rbo_20__rbo_100,38.0,rbo_20__rbo_100,SBUX
rtt_5020__rbo_100_equity_equal,9733.54539999998,-2.6645460000001897,-5.2249122464740765,rtt_5020__rbo_100,22.0,rtt_5020__rbo_100,SBUX
rsma_50100150__rbo_20_equity_equal,9731.147600000004,-2.688523999999959,-4.343210973881827,rsma_50100150__rbo_20,81.0,rsma_50100150__rbo_20,SBUX
rbo_100__rsma_50100150_equity_equal,9706.131699999998,-2.93868300000002,-4.041948545070031,rbo_100__rsma_50100150,53.0,rbo_100__rsma_50100150,SBUX
rsma_50100150_equity_equal,9688.7557,-3.112442999999998,-6.455244379990359,rsma_50100150,,rsma_50100150,SBUX
rema_50100150__rsma_50100150_equity_equal,9687.874799999998,-3.121252000000019,-5.107523128240855,rema_50100150__rsma_50100150,60.0,rema_50100150__rsma_50100150,SBUX
rbo_100__rbo_100_equity_equal,9665.012400000009,-3.3498759999999184,-4.674499969969452,rbo_100__rbo_100,3.0,rbo_100__rbo_100,SBUX
rbo_100__rtt_5020_equity_equal,9643.545300000003,-3.5645469999999624,-4.887507599778555,rbo_100__rtt_5020,29.0,rbo_100__rtt_5020,SBUX
rsma_50100150__rsma_50100150_equity_equal,9640.4778,-3.595222000000009,-5.411670325669351,rsma_50100150__rsma_50100150,6.0,rsma_50100150__rsma_50100150,SBUX
rbo_100__rbo_50_equity_equal,9600.054300000002,-3.999456999999984,-5.319047715957535,rbo_100__rbo_50,43.0,rbo_100__rbo_50,SBUX
rbo_50__rsma_50100150_equity_constant,9585.190600000002,-4.14809399999998,-38.98531201976942,rbo_50__rsma_50100150,45.0,rbo_50__rsma_50100150,SBUX
